prefix_len,prefix_fraction,num_tokens,alarm_mae_all,alarm_mae_observed,n_observed,pred_alarm_mean,pred_alarm_std
32,0.03333333333333333,3,88.01473999023438,8.60672378540039,11,15.657987594604492,1.4597628116607666
48,0.05,5,73.36576080322266,5.953457355499268,18,30.313982009887695,4.808060646057129
64,0.06666666666666667,7,59.931793212890625,5.679751396179199,27,43.808441162109375,9.431610107421875
96,0.1,11,38.65618896484375,6.876688003540039,55,65.17005920410156,20.08831787109375
128,0.13333333333333333,15,23.467981338500977,6.904209136962891,70,81.32611846923828,31.557144165039062
160,0.16666666666666666,19,13.292177200317383,6.903631687164307,89,92.3409652709961,41.62351989746094
192,0.2,23,7.881260871887207,7.881260871887207,110,98.80823516845703,49.36426544189453
240,0.25,29,6.496771812438965,6.496771812438965,110,98.46702575683594,49.4652099609375
320,0.3333333333333333,39,6.342922687530518,6.342922687530518,110,98.91365051269531,49.250736236572266
480,0.5,59,7.008514881134033,7.008514881134033,110,101.11787414550781,49.84307098388672
640,0.6666666666666666,79,7.604154109954834,7.604154109954834,110,103.25811004638672,50.635345458984375
800,0.8333333333333334,99,8.67418384552002,8.67418384552002,110,106.25310516357422,52.77436828613281
960,1.0,119,11.714591026306152,11.714591026306152,110,110.45853424072266,59.78892517089844
